         307640 function calls (307545 primitive calls) in 1.950 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    21900    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
    17308    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
15189/15183    0.001    0.000    0.002    0.000 {built-in method builtins.isinstance}
    14216    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
    13985    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
    13828    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    13145    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
    10659    0.003    0.000    0.004    0.000 /usr/lib/python3.13/_markupbase.py:44(updatepos)
     8545    0.001    0.000    0.001    0.000 /usr/lib/python3.13/typing.py:2371(cast)
     8261    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     8169    0.003    0.000    0.003    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:376(setup)
     7984    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
     7971    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
7966/7959    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     5805    0.001    0.000    0.001    0.000 /usr/lib/python3.13/typing.py:426(inner)
     5792    0.001    0.000    0.004    0.000 /usr/lib/python3.13/html/__init__.py:122(unescape)
     5586    0.004    0.000    0.018    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/__init__.py:826(endData)
     5449    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     4428    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:2219(__bool__)
     3465    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:2763(descendants)
     3446    0.000    0.000    0.001    0.000 {built-in method builtins.next}
     3439    0.001    0.000    0.004    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:717(match)
     3156    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     2772    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x9fb020}
     2772    0.001    0.000    0.001    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/__init__.py:1065(handle_data)
     2748    0.003    0.000    0.006    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/__init__.py:867(object_was_parsed)
     2748    0.002    0.000    0.005    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:1291(__new__)
     2748    0.002    0.000    0.003    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/__init__.py:732(string_container)
     2739    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     2698    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     2690    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
     2673    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/builder/__init__.py:636(set_up_substitutions)
     2673    0.002    0.000    0.003    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/__init__.py:809(pushTag)
     2673    0.004    0.000    0.016    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:1618(__init__)
     2673    0.000    0.000    0.000    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/builder/__init__.py:290(can_be_empty_element)
     2672    0.005    0.000    0.034    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/__init__.py:987(handle_starttag)
     2672    0.002    0.000    0.002    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/__init__.py:786(popTag)
