         307659 function calls (307568 primitive calls) in 6.601 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.000    5.000    5.000    5.000 {built-in method time.sleep}
      275    1.178    0.004    1.178    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.100    0.100    0.100    0.100 {built-in method _socket.getaddrinfo}
        1    0.095    0.095    0.095    0.095 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.092    0.092    0.092    0.092 {method 'connect' of '_socket.socket' objects}
     2672    0.014    0.000    0.072    0.000 /usr/lib/python3.13/html/parser.py:301(parse_starttag)
        2    0.010    0.005    0.119    0.060 /usr/lib/python3.13/html/parser.py:134(goahead)
    21900    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
     2672    0.005    0.000    0.032    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/__init__.py:987(handle_starttag)
     2672    0.005    0.000    0.008    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/builder/__init__.py:382(_replace_cdata_list_attribute_values)
     2523    0.005    0.000    0.025    0.000 /usr/lib/python3.13/html/parser.py:379(parse_endtag)
     5586    0.004    0.000    0.018    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/__init__.py:826(endData)
     2672    0.004    0.000    0.038    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:142(handle_starttag)
     2673    0.004    0.000    0.014    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:1618(__init__)
     8169    0.003    0.000    0.003    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:376(setup)
       35    0.003    0.000    0.003    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    13145    0.003    0.000    0.003    0.000 {method 'group' of 're.Match' objects}
     2671    0.003    0.000    0.005    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/__init__.py:950(_popToTag)
     2748    0.003    0.000    0.006    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/__init__.py:867(object_was_parsed)
    10659    0.003    0.000    0.004    0.000 /usr/lib/python3.13/_markupbase.py:44(updatepos)
     7984    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
     2748    0.002    0.000    0.005    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/element.py:1291(__new__)
     2673    0.002    0.000    0.003    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/__init__.py:809(pushTag)
     2672    0.002    0.000    0.018    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:204(handle_endtag)
     2748    0.002    0.000    0.003    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/__init__.py:732(string_container)
    17308    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
     2672    0.002    0.000    0.002    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/__init__.py:786(popTag)
    14216    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
    13828    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     2672    0.002    0.000    0.005    0.000 /usr/lib/python3.13/html/parser.py:345(check_for_whole_start_tag)
     7971    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
    13985    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
     2671    0.001    0.000    0.016    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/__init__.py:1053(handle_endtag)
     1952    0.001    0.000    0.002    0.000 /usr/lib/python3.13/html/__init__.py:91(_replace_charref)
15189/15183    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
     5805    0.001    0.000    0.001    0.000 /usr/lib/python3.13/typing.py:426(inner)
     1446    0.001    0.000    0.001    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/__init__.py:906(_linkage_fixer)
     2210    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
     2772    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x9fb020}
       44    0.001    0.000    0.006    0.000 /home/misha/Files/DS_Bootcamp.Day03-1/.venv/lib/python3.13/site-packages/bs4/filter.py:129(filter)
